1,B,1,8.1,6.7,16.1,19,7,M
2,B,2,8.8,7.7,18.1,20.8,7.4,M
3,B,3,9.2,7.8,19,22.4,7.7,M
4,B,4,9.6,7.9,20.1,23.1,8.2,M
5,B,5,9.8,8,20.3,23,8.2,M
6,B,6,10.8,9,23,26.5,9.8,M
7,B,7,11.1,9.9,23.8,27.1,9.8,M
8,B,8,11.6,9.1,24.5,28.4,10.4,M
9,B,9,11.8,9.6,24.2,27.8,9.7,M
10,B,10,11.8,10.5,25.2,29.3,10.3,M
11,B,11,12.2,10.8,27.3,31.6,10.9,M
12,B,12,12.3,11,26.8,31.5,11.4,M
13,B,13,12.6,10,27.7,31.7,11.4,M
14,B,14,12.8,10.2,27.2,31.8,10.9,M
15,B,15,12.8,10.9,27.4,31.5,11,M
16,B,16,12.9,11,26.8,30.9,11.4,M
17,B,17,13.1,10.6,28.2,32.3,11,M
18,B,18,13.1,10.9,28.3,32.4,11.2,M
19,B,19,13.3,11.1,27.8,32.3,11.3,M
20,B,20,13.9,11.1,29.2,33.3,12.1,M
21,B,21,14.3,11.6,31.3,35.5,12.7,M
22,B,22,14.6,11.3,31.9,36.4,13.7,M
23,B,23,15,10.9,31.4,36.4,13.2,M
24,B,24,15,11.5,32.4,37,13.4,M
25,B,25,15,11.9,32.5,37.2,13.6,M
26,B,26,15.2,12.1,32.3,36.7,13.6,M
27,B,27,15.4,11.8,33,37.5,13.6,M
28,B,28,15.7,12.6,35.8,40.3,14.5,M
29,B,29,15.9,12.7,34,38.9,14.2,M
30,B,30,16.1,11.6,33.8,39,14.4,M
31,B,31,16.1,12.8,34.9,40.7,15.7,M
32,B,32,16.2,13.3,36,41.7,15.4,M
33,B,33,16.3,12.7,35.6,40.9,14.9,M
34,B,34,16.4,13,35.7,41.8,15.2,M
35,B,35,16.6,13.5,38.1,43.4,14.9,M
36,B,36,16.8,12.8,36.2,41.8,14.9,M
37,B,37,16.9,13.2,37.3,42.7,15.6,M
38,B,38,17.1,12.6,36.4,42,15.1,M
39,B,39,17.1,12.7,36.7,41.9,15.6,M
40,B,40,17.2,13.5,37.6,43.9,16.1,M
